Backsight,Foresight,Upper Reading,Middle Reading,Lower Reading,Digital Reading,Benchmark
SGA P 130 13 11,,1.23,1.03,0.83,1.04,100
,1,2.09,1.93,1.77,1.935,
1,,1.115,0.935,0.73,0.94,
,2,2.04,1.84,0.64,1.849,
2,,1.4,1.215,1.025,1.218,
,3,2.06,1.86,1.64,1.86,
3,,1.24,1.05,0.84,1.058,
,4,2.185,1.985,1.79,1.995,
4,,1.25,1.045,0.84,1.05,
,5,2.105,1.915,1.725,1.923,
5,,1.31,1.12,0.93,1.122,
,6,2.47,2.285,2.1,2.29,
6,,0.52,0.38,0.24,0.386,
,7,3.485,3.255,3.025,3.26,
7,,1.43,1.23,1.03,1.238,
,8,3.705,3.515,3.325,3.52,
8,,1.24,1.065,0.89,1.068,
,9,1.458,1.28,1.11,1.285,
9,,2.06,1.88,1.7,1.886,
,10,1.76,1.61,1.465,1.616,
10,,0.97,0.8,0.628,0.805,
,11,2.81,2.625,2.44,2.629,
11,,0.65,0.45,0.255,0.459,
,12,3.145,2.95,2.76,2.959,
12,,0.45,0.35,0.245,0.35,
,13,3.97,3.685,3.405,3.697,
13,,3.97,3.685,3.405,3.697,
,12,0.45,0.35,0.245,0.35,
12,,3.18,2.99,2.79,2.994,
,11,0.675,0.485,0.295,0.495,
11,,2.76,2.57,2.39,2.576,
,10,0.92,0.75,0.58,0.757,
10,,1.78,1.63,1.48,1.635,
,9,2.08,1.9,0.72,1.904,
9,,1.5,1.325,1.15,1.332,
,8,1.28,1.105,0.93,1.112,
8,,3.72,3.525,3.33,3.532,
,7,1.44,1.24,1.04,1.248,
7,,3.63,3.4,3.185,3.406,
,6,0.66,0.52,0.385,0.53,
6,,2.535,2.35,2.185,2.355,
,5,1.37,1.175,0.985,1.18,
5,,2.12,1.93,1.74,1.937,
,4,1.26,1.06,0.86,1.066,
4,,2.21,2.01,1.81,2.016,
,3,1.26,1.065,0.87,1.072,
3,,2.09,1.88,1.69,1.894,
,2,1.435,1.245,1.055,1.253,
2,,2.07,1.87,1.67,1.872,
,1,1.65,0.96,0.765,0.97,
1,,2.135,1.975,1.815,1.979,
,SGA P 130 11,1.195,0.995,0.795,1.002,
